CEILING,LATITUDE,LONGITUDE
300,40.72917346,-73.67083921
300,40.72917346,-73.66250588
300,40.72917346,-73.65417254
300,40.72917346,-73.64583921
400,40.7375068,-73.98750594
400,40.7375068,-73.97917261
400,40.7375068,-73.97083927
300,40.7375068,-73.96250594
300,40.7375068,-73.9541726
0,40.7375068,-73.94583927
0,40.7375068,-73.93750593
50,40.7375068,-73.9291726
50,40.7375068,-73.92083926
50,40.7375068,-73.91250593
50,40.7375068,-73.90417259
50,40.7375068,-73.89583926
50,40.7375068,-73.88750592
50,40.7375068,-73.87917259
50,40.7375068,-73.87083925
50,40.7375068,-73.86250592
50,40.7375068,-73.85417258
100,40.7375068,-73.84583925
100,40.7375068,-73.83750591
100,40.7375068,-73.82917258
100,40.7375068,-73.82083924
100,40.7375068,-73.81250591
100,40.7375068,-73.80417257
100,40.7375068,-73.79583924
100,40.7375068,-73.7875059
100,40.7375068,-73.77917257
100,40.7375068,-73.77083923
200,40.7375068,-73.7625059
200,40.7375068,-73.75417256
200,40.7375068,-73.74583923
200,40.7375068,-73.73750589
200,40.7375068,-73.72917256
200,40.7375068,-73.72083922
200,40.7375068,-73.71250589
200,40.7375068,-73.70417255
200,40.7375068,-73.69583922
200,40.7375068,-73.68750588
200,40.7375068,-73.67917255
200,40.7375068,-73.67083921
200,40.7375068,-73.66250588
200,40.7375068,-73.65417254
400,40.74584013,-73.99583928
400,40.74584013,-73.98750594
400,40.74584013,-73.97917261
400,40.74584013,-73.97083927
300,40.74584013,-73.96250594
300,40.74584013,-73.9541726
0,40.74584013,-73.94583927
0,40.74584013,-73.93750593
50,40.74584013,-73.9291726
50,40.74584013,-73.92083926
50,40.74584013,-73.91250593
50,40.74584013,-73.90417259
50,40.74584013,-73.89583926
50,40.74584013,-73.88750592
50,40.74584013,-73.87917259
50,40.74584013,-73.87083925
50,40.74584013,-73.86250592
50,40.74584013,-73.85417258
100,40.74584013,-73.84583925
100,40.74584013,-73.83750591
100,40.74584013,-73.82917258
100,40.74584013,-73.82083924
100,40.74584013,-73.81250591
100,40.74584013,-73.80417257
100,40.74584013,-73.79583924
100,40.74584013,-73.7875059
100,40.74584013,-73.77917257
100,40.74584013,-73.77083923
200,40.74584013,-73.7625059
200,40.74584013,-73.75417256
200,40.74584013,-73.74583923
200,40.74584013,-73.73750589
200,40.74584013,-73.72917256
200,40.74584013,-73.72083922
200,40.74584013,-73.71250589
200,40.74584013,-73.70417255
200,40.74584013,-73.69583922
200,40.74584013,-73.68750588
200,40.74584013,-73.67917255
200,40.74584013,-73.67083921
0,40.75417347,-73.99583928
400,40.75417347,-73.98750594
400,40.75417347,-73.97917261
400,40.75417347,-73.97083927
0,40.75417347,-73.96250594
0,40.75417347,-73.9541726
100,40.75417347,-73.94583927
0,40.75417347,-73.93750593
0,40.75417347,-73.9291726
0,40.75417347,-73.92083926
0,40.75417347,-73.91250593
0,40.75417347,-73.90417259
0,40.75417347,-73.89583926
0,40.75417347,-73.88750592
0,40.75417347,-73.87917259
0,40.75417347,-73.87083925
0,40.75417347,-73.86250592
0,40.75417347,-73.85417258
0,40.75417347,-73.84583925
0,40.75417347,-73.83750591
0,40.75417347,-73.82917258
0,40.75417347,-73.82083924
0,40.75417347,-73.81250591
0,40.75417347,-73.80417257
100,40.75417347,-73.79583924
100,40.75417347,-73.7875059
100,40.75417347,-73.77917257
100,40.75417347,-73.77083923
200,40.75417347,-73.7625059
200,40.75417347,-73.75417256
200,40.75417347,-73.74583923
200,40.75417347,-73.73750589
200,40.75417347,-73.72917256
200,40.75417347,-73.72083922
200,40.75417347,-73.71250589
200,40.75417347,-73.70417255
200,40.75417347,-73.69583922
200,40.75417347,-73.68750588
